poll_id,race_id,cycle,office,state,pollster,sample_size,poll_date,days_out,election_date,margin_poll,margin_actual,error,dem_won
6483,1687,2000,SEN-G,FL,McLaughlin & Associates,600,2000-10-17,21,2000-11-07,0.0,4.85,-4.85,1
6472,1706,2000,SEN-G,PA,Lincoln Institute,728,2000-10-17,21,2000-11-07,-11.0,-6.91,-4.09,0
25719,1694,2000,SEN-G,MI,EPIC-MRA,500,2000-10-18,20,2000-11-07,-7.0,1.61,-8.61,1
63599,1694,2000,SEN-G,MI,Rasmussen Reports,626,2000-10-18,20,2000-11-07,-19.0,1.61,-20.61,1
63600,1706,2000,SEN-G,PA,Rasmussen Reports,1043,2000-10-18,20,2000-11-07,-13.0,-6.91,-6.09,0
54529,1714,2000,SEN-G,WV,Rasmussen Reports,1036,2000-10-18,20,2000-11-07,61.0,57.59,3.41,1
6491,1695,2000,SEN-G,MN,St. Cloud State University,514,2000-10-19,19,2000-11-07,15.0,5.54,9.46,1
54474,1698,2000,SEN-G,MT,Rasmussen Reports,968,2000-10-19,19,2000-11-07,-10.0,-3.31,-6.69,0
25949,1703,2000,SEN-G,NY,Zogby Analytics,504,2000-10-19,19,2000-11-07,-1.0,12.26,-13.26,1
6462,1705,2000,SEN-G,OH,Mason-Dixon Polling & Strategy,625,2000-10-19,19,2000-11-07,-23.0,-24.07,1.07,0
63603,1707,2000,SEN-G,RI,Rasmussen Reports,802,2000-10-19,19,2000-11-07,-17.0,-15.73,-1.27,0
6463,1711,2000,SEN-G,VT,Mason-Dixon Polling & Strategy,628,2000-10-19,19,2000-11-07,-43.0,-40.18,-2.82,0
6451,1713,2000,SEN-G,WA,Elway Research,400,2000-10-19,19,2000-11-07,-3.0,0.09,-3.09,1
25743,1687,2000,SEN-G,FL,Fleming & Associates,606,2000-10-20,18,2000-11-07,3.0,4.85,-1.85,1
6447,1715,2000,SEN-G,WI,Harris Insights & Analytics,587,2000-10-20,18,2000-11-07,43.0,24.51,18.49,1
25903,1715,2000,SEN-G,WI,University of Wisconsin Survey Center,587,2000-10-20,18,2000-11-07,43.0,24.51,18.49,1
12771,1684,2000,SEN-G,CA,Los Angeles Times,852,2000-10-21,17,2000-11-07,25.0,19.25,5.75,1
25829,1698,2000,SEN-G,MT,Montana State University Billings Mountain States Poll,403,2000-10-21,17,2000-11-07,2.0,-3.31,5.31,0
6464,1701,2000,SEN-G,NJ,Quinnipiac University,909,2000-10-21,17,2000-11-07,5.0,3.01,1.99,1
54489,1704,2000,SEN-G,ND,Rasmussen Reports,1258,2000-10-21,17,2000-11-07,23.0,22.74,0.26,1
63608,1708,2000,SEN-G,TN,Rasmussen Reports,839,2000-10-21,17,2000-11-07,-29.0,-32.89,3.89,0
6454,1712,2000,SEN-G,VA,Virginia Commonwealth University L. Douglas Wilder School of Government and Public Affairs,596,2000-10-21,17,2000-11-07,-15.0,-4.58,-10.42,0
6489,1713,2000,SEN-G,WA,EMC Research,500,2000-10-21,17,2000-11-07,-4.0,0.09,-4.09,1
63609,1688,2000,SEN-G,GA,Rasmussen Reports,1029,2000-10-22,16,2000-11-07,17.0,20.4,-3.4,1
25884,1691,2000,SEN-G,ME,Pan Atlantic Research,400,2000-10-22,16,2000-11-07,-54.0,-37.88,-16.12,0
63610,1691,2000,SEN-G,ME,Rasmussen Reports,1548,2000-10-22,16,2000-11-07,-39.0,-37.88,-1.12,0
63611,1703,2000,SEN-G,NY,Rasmussen Reports,781,2000-10-22,16,2000-11-07,3.0,12.26,-9.26,1
25897,1705,2000,SEN-G,OH,University of Cincinnati (Ohio Poll),608,2000-10-22,16,2000-11-07,-25.0,-24.07,-0.93,0
6450,1706,2000,SEN-G,PA,Public Opinion Strategies,500,2000-10-22,16,2000-11-07,-22.0,-6.91,-15.09,0
6416,1707,2000,SEN-G,RI,Brown University A. Alfred Taubman Center for American Politics and Policy,370,2000-10-22,16,2000-11-07,-24.0,-15.73,-8.27,0
6403,1687,2000,SEN-G,FL,CBS News/The New York Times,514,2000-10-23,15,2000-11-07,9.0,4.85,4.15,1
54458,1697,2000,SEN-G,MO,Rasmussen Reports,1072,2000-10-23,15,2000-11-07,-3.0,2.08,-5.08,1
63614,1700,2000,SEN-G,NV,Rasmussen Reports,817,2000-10-23,15,2000-11-07,-17.0,-15.7,-1.3,0
63615,1705,2000,SEN-G,OH,Rasmussen Reports,929,2000-10-23,15,2000-11-07,-26.0,-24.07,-1.93,0
6405,1684,2000,SEN-G,CA,Research 2000,822,2000-10-24,14,2000-11-07,15.0,19.25,-4.25,1
54442,1686,2000,SEN-G,DE,SurveyUSA,500,2000-10-24,14,2000-11-07,1.0,11.83,-10.83,1
6400,1691,2000,SEN-G,ME,Market Decisions Research,824,2000-10-24,14,2000-11-07,-45.0,-37.88,-7.12,0
25718,1694,2000,SEN-G,MI,EPIC-MRA,500,2000-10-24,14,2000-11-07,0.0,1.61,-1.61,1
6388,1694,2000,SEN-G,MI,Mitchell Research & Communications,800,2000-10-24,14,2000-11-07,-3.0,1.61,-4.61,1
6386,1697,2000,SEN-G,MO,Mason-Dixon Polling & Strategy,625,2000-10-24,14,2000-11-07,0.0,2.08,-2.08,1
6387,1698,2000,SEN-G,MT,Mason-Dixon Polling & Strategy,628,2000-10-24,14,2000-11-07,-1.0,-3.31,2.31,0
6398,1703,2000,SEN-G,NY,Blum & Weprin Associates,850,2000-10-24,14,2000-11-07,7.0,12.26,-5.26,1
73383,1703,2000,SEN-G,NY,SurveyUSA,500,2000-10-24,14,2000-11-07,6.0,12.26,-6.26,1
54509,1710,2000,SEN-G,UT,Rasmussen Reports,918,2000-10-24,14,2000-11-07,-37.0,-34.07,-2.93,0
6389,1711,2000,SEN-G,VT,Research 2000,400,2000-10-24,14,2000-11-07,-28.0,-40.18,12.18,0
25901,1712,2000,SEN-G,VA,ABC News/The Washington Post,1009,2000-10-24,14,2000-11-07,-2.0,-4.58,2.58,0
63619,1712,2000,SEN-G,VA,Rasmussen Reports,1100,2000-10-24,14,2000-11-07,-8.0,-4.58,-3.42,0
63620,1687,2000,SEN-G,FL,Rasmussen Reports,864,2000-10-25,13,2000-11-07,4.0,4.85,-0.85,1
6367,1693,2000,SEN-G,MA,KRC Research,400,2000-10-25,13,2000-11-07,52.0,59.89,-7.89,1
6366,1693,2000,SEN-G,MA,RKM Research and Communications Inc.,400,2000-10-25,13,2000-11-07,49.0,59.89,-10.89,1
6368,1694,2000,SEN-G,MI,Marketing Resource Group (MRG),500,2000-10-25,13,2000-11-07,-8.0,1.61,-9.61,1
6372,1697,2000,SEN-G,MO,Zogby Analytics,603,2000-10-25,13,2000-11-07,2.0,2.08,-0.08,1
6383,1701,2000,SEN-G,NJ,Rutgers University Eagleton Center for Public Interest Polling,432,2000-10-25,13,2000-11-07,10.0,3.01,6.99,1
63733,1701,2000,SEN-G,NJ,SurveyUSA,500,2000-10-25,13,2000-11-07,8.0,3.01,4.99,1
6377,1712,2000,SEN-G,VA,Mason-Dixon Polling & Strategy,625,2000-10-25,13,2000-11-07,-3.0,-4.58,1.58,0
6363,1692,2000,SEN-G,MD,Mason-Dixon Polling & Strategy,625,2000-10-26,12,2000-11-07,29.0,26.47,2.53,1
63624,1692,2000,SEN-G,MD,Rasmussen Reports,696,2000-10-26,12,2000-11-07,20.0,26.47,-6.47,1
6352,1699,2000,SEN-G,NE,RKM Research and Communications Inc.,1007,2000-10-26,12,2000-11-07,12.0,2.18,9.82,1
54518,1711,2000,SEN-G,VT,Rasmussen Reports,1000,2000-10-26,12,2000-11-07,-42.0,-40.18,-1.82,0
6332,1687,2000,SEN-G,FL,Zogby Analytics,600,2000-10-27,11,2000-11-07,10.0,4.85,5.15,1
54450,1690,2000,SEN-G,IN,Market Shares Corp.,600,2000-10-27,11,2000-11-07,-59.0,-34.71,-24.29,0
6371,1692,2000,SEN-G,MD,Gonzales Research & Marketing Strategies Inc.,627,2000-10-27,11,2000-11-07,33.0,26.47,6.53,1
6341,1693,2000,SEN-G,MA,University of Massachusetts Department of Political Science,401,2000-10-27,11,2000-11-07,53.0,59.89,-6.89,1
6333,1694,2000,SEN-G,MI,Zogby Analytics,600,2000-10-27,11,2000-11-07,2.0,1.61,0.39,1
6324,1695,2000,SEN-G,MN,Mason-Dixon Polling & Strategy,625,2000-10-27,11,2000-11-07,5.0,5.54,-0.54,1
25934,1697,2000,SEN-G,MO,Zogby Analytics,600,2000-10-27,11,2000-11-07,7.0,2.08,4.92,1
6325,1700,2000,SEN-G,NV,Mason-Dixon Polling & Strategy,625,2000-10-27,11,2000-11-07,-17.0,-15.7,-1.3,0
6338,1701,2000,SEN-G,NJ,Monmouth University,575,2000-10-27,11,2000-11-07,4.0,3.01,0.99,1
6370,1701,2000,SEN-G,NJ,Quinnipiac University,600,2000-10-27,11,2000-11-07,8.0,3.01,4.99,1
6343,1703,2000,SEN-G,NY,CBS News/The New York Times,871,2000-10-27,11,2000-11-07,8.0,12.26,-4.26,1
6369,1703,2000,SEN-G,NY,Quinnipiac University,600,2000-10-27,11,2000-11-07,3.0,12.26,-9.26,1
25947,1703,2000,SEN-G,NY,Zogby Analytics,700,2000-10-27,11,2000-11-07,-1.0,12.26,-13.26,1
6336,1705,2000,SEN-G,OH,Zogby Analytics,600,2000-10-27,11,2000-11-07,-25.0,-24.07,-0.93,0
6320,1706,2000,SEN-G,PA,Zogby Analytics,600,2000-10-27,11,2000-11-07,-21.0,-6.91,-14.09,0
6340,1708,2000,SEN-G,TN,Zogby Analytics,500,2000-10-27,11,2000-11-07,-34.0,-32.89,-1.11,0
6321,1713,2000,SEN-G,WA,Zogby Analytics,500,2000-10-27,11,2000-11-07,-2.0,0.09,-2.09,1
