computed_at,race_id,as_of_date,days_out,margin,dem_pct,rep_pct,n_polls,effective_n,n_partisan,partisan_lean,excluded_partisan,window_days,half_life_days
2026-08-28T17:58:26,2026-senate-GA,2026-08-28,67,7.79,50.46,42.68,2,1.45,0,,False,45,14
2026-08-28T17:58:27,2026-senate-MI,2026-08-28,67,1.35,45.82,44.47,9,7.59,3,4.22,False,45,14
2026-08-28T17:58:27,2026-senate-NC,2026-08-28,67,8.73,50.36,41.64,8,7.04,1,-2.93,False,45,14
2026-08-28T17:58:27,2026-senate-ME,2026-08-28,67,2.78,48.49,45.71,3,2.6,1,1.5,False,45,14
2026-08-28T17:58:28,2026-senate-OH,2026-08-28,67,5.97,50.46,44.49,2,2.0,0,,False,45,14
2026-08-28T17:58:28,2026-senate-TX,2026-08-28,67,3.26,46.61,43.35,9,6.52,1,0.0,False,45,14
2026-08-28T17:58:28,2026-senate-IA,2026-08-28,67,-4.09,42.13,46.23,2,1.77,0,,False,45,14
2026-08-28T17:58:28,2026-senate-NH,2026-08-28,67,1.77,45.09,43.32,2,1.95,0,,False,45,14
2026-08-28T17:58:29,2026-senate-MN,2026-08-28,67,5.0,46.0,41.0,1,1.0,0,,False,45,14
2026-08-28T17:58:29,2026-senate-AK,2026-08-28,67,1.6,50.8,49.2,1,1.0,0,,False,45,14
2026-08-28T17:58:30,2026-generic-ballot,2026-08-28,67,5.84,40.87,35.02,5,4.91,0,,False,45,14
2026-08-28T21:39:30,2026-senate-GA,2026-08-28,67,7.79,50.46,42.68,2,1.45,0,,False,45,14
2026-08-28T21:39:30,2026-senate-MI,2026-08-28,67,1.35,45.82,44.47,9,7.59,3,4.22,False,45,14
2026-08-28T21:39:30,2026-senate-NC,2026-08-28,67,8.73,50.36,41.64,8,7.04,1,-2.93,False,45,14
2026-08-28T21:39:31,2026-senate-ME,2026-08-28,67,2.78,48.49,45.71,3,2.6,1,1.5,False,45,14
2026-08-28T21:39:31,2026-senate-OH,2026-08-28,67,5.97,50.46,44.49,2,2.0,0,,False,45,14
2026-08-28T21:39:31,2026-senate-TX,2026-08-28,67,3.26,46.61,43.35,9,6.52,1,0.0,False,45,14
2026-08-28T21:39:32,2026-senate-IA,2026-08-28,67,-4.09,42.13,46.23,2,1.77,0,,False,45,14
2026-08-28T21:39:32,2026-senate-NH,2026-08-28,67,1.77,45.09,43.32,2,1.95,0,,False,45,14
