computed_at,race_id,as_of_date,days_out,margin,prob,sigma,sigma_systematic,sigma_sampling,n_polls,effective_n,n_partisan,partisan_lean,excluded_partisan,sigma_final_assumed
2026-08-28T19:55:34,2026-senate-GA,2026-08-28,67,7.79,0.8905,6.34,5.62,2.94,2,1.45,0,,False,4.5
2026-08-28T19:55:34,2026-senate-MI,2026-08-28,67,1.35,0.5926,5.76,5.62,1.28,9,7.59,3,4.22,False,4.5
2026-08-28T19:55:34,2026-senate-NC,2026-08-28,67,8.73,0.9347,5.77,5.62,1.33,8,7.04,1,-2.93,False,4.5
2026-08-28T19:55:34,2026-senate-ME,2026-08-28,67,2.78,0.6776,6.03,5.62,2.19,3,2.6,1,1.5,False,4.5
2026-08-28T19:55:34,2026-senate-OH,2026-08-28,67,5.97,0.8342,6.15,5.62,2.5,2,2.0,0,,False,4.5
2026-08-28T19:55:34,2026-senate-TX,2026-08-28,67,3.26,0.7134,5.79,5.62,1.38,9,6.52,1,0.0,False,4.5
2026-08-28T19:55:34,2026-senate-IA,2026-08-28,67,-4.09,0.2552,6.21,5.62,2.66,2,1.77,0,,False,4.5
2026-08-28T19:55:34,2026-senate-NH,2026-08-28,67,1.77,0.613,6.16,5.62,2.53,2,1.95,0,,False,4.5
2026-08-28T19:55:34,2026-senate-MN,2026-08-28,67,5.0,0.7744,6.64,5.62,3.54,1,1.0,0,,False,4.5
2026-08-28T19:55:34,2026-senate-AK,2026-08-28,67,1.6,0.5952,6.64,5.62,3.54,1,1.0,0,,False,4.5
