fetched_at,snapshot_date,race_id,cycle,venue,yes_side,prob,days_out,raw_price,inverted,volume,liquidity,spread,note
2026-08-28T16:09:01+00:00,2026-08-28,2026-senate-control,2026,polymarket,DEM,0.505,67,0.505,False,2379519.660877999,179755.2973,0.01,
2026-08-28T16:09:02+00:00,2026-08-28,2026-senate-GA,2026,polymarket,DEM,0.935,67,0.935,False,48337.454263999985,33830.6029,0.01,
2026-08-28T16:24:37+00:00,2026-08-28,2026-senate-control,2026,polymarket,DEM,0.505,67,0.505,False,2379519.660877999,178932.8608,0.01,
2026-08-28T16:24:37+00:00,2026-08-28,2026-senate-GA,2026,polymarket,DEM,0.935,67,0.935,False,48337.454264,34326.6943,0.01,
2026-08-28T16:46:07+00:00,2026-08-28,2026-senate-control,2026,polymarket,DEM,0.505,67,0.505,False,2379519.6608779994,180134.1373,0.01,
2026-08-28T16:46:07+00:00,2026-08-28,2026-house-control,2026,polymarket,DEM,0.885,67,0.885,False,5567621.013283,360191.8507,0.01,
2026-08-28T16:46:07+00:00,2026-08-28,2026-senate-GA,2026,polymarket,DEM,0.935,67,0.935,False,48337.454264000015,34345.6068,0.01,
2026-08-28T16:46:07+00:00,2026-08-28,2026-senate-MI,2026,polymarket,DEM,0.645,67,0.645,False,329780.11584999994,109851.6506,0.01,
2026-08-28T16:46:07+00:00,2026-08-28,2026-senate-NC,2026,polymarket,DEM,0.915,67,0.915,False,40805.812669999985,21497.1186,0.01,
2026-08-28T16:46:08+00:00,2026-08-28,2026-senate-ME,2026,polymarket,DEM,0.695,67,0.695,False,732224.3344610003,68729.8367,0.01,
2026-08-28T16:46:08+00:00,2026-08-28,2026-senate-OH,2026,polymarket,DEM,0.555,67,0.555,False,108719.44509900002,29957.9756,0.01,
2026-08-28T16:46:08+00:00,2026-08-28,2026-senate-TX,2026,polymarket,DEM,0.495,67,0.495,False,439065.39387699997,109973.1533,0.01,
2026-08-28T16:46:08+00:00,2026-08-28,2026-senate-IA,2026,polymarket,DEM,0.4,67,0.4,False,105749.21368600003,78936.4964,0.02,
2026-08-28T16:46:08+00:00,2026-08-28,2026-senate-NH,2026,polymarket,DEM,0.865,67,0.865,False,56381.828138,15868.6403,0.01,
2026-08-28T16:46:08+00:00,2026-08-28,2026-senate-MN,2026,polymarket,DEM,0.905,67,0.905,False,39017.637627000004,18455.2187,0.01,
2026-08-28T16:46:08+00:00,2026-08-28,2026-senate-NE,2026,polymarket,DEM,0.0015,67,0.0015,False,87933.328097,19195.71929,0.001,
2026-08-28T16:46:09+00:00,2026-08-28,2026-senate-KS,2026,polymarket,DEM,0.2,67,0.2,False,15323.205808999997,11831.2303,0.02,
2026-08-28T18:21:59+00:00,2026-08-28,2026-senate-control,2026,polymarket,DEM,0.505,67,0.505,False,2381435.2295039995,182953.2848,0.01,
2026-08-28T18:21:59+00:00,2026-08-28,2026-house-control,2026,polymarket,DEM,0.885,67,0.885,False,5568121.013283001,360436.9211,0.01,
2026-08-28T18:21:59+00:00,2026-08-28,2026-senate-GA,2026,polymarket,DEM,0.935,67,0.935,False,48405.454264,34094.4582,0.01,
2026-08-28T18:22:00+00:00,2026-08-28,2026-senate-MI,2026,polymarket,DEM,0.645,67,0.645,False,329817.3058499999,112871.3745,0.01,
2026-08-28T18:22:00+00:00,2026-08-28,2026-senate-NC,2026,polymarket,DEM,0.915,67,0.915,False,40805.81267,21589.7312,0.01,
2026-08-28T18:22:00+00:00,2026-08-28,2026-senate-ME,2026,polymarket,DEM,0.695,67,0.695,False,732236.8525240002,68611.9885,0.01,
2026-08-28T18:22:00+00:00,2026-08-28,2026-senate-OH,2026,polymarket,DEM,0.555,67,0.555,False,109164.72509899999,29734.6589,0.01,
2026-08-28T18:22:00+00:00,2026-08-28,2026-senate-TX,2026,polymarket,DEM,0.495,67,0.495,False,439072.3938769999,104412.006,0.01,
2026-08-28T18:22:01+00:00,2026-08-28,2026-senate-IA,2026,polymarket,DEM,0.405,67,0.405,False,105749.21368599999,78214.9148,0.01,
2026-08-28T18:22:01+00:00,2026-08-28,2026-senate-NH,2026,polymarket,DEM,0.865,67,0.865,False,56381.828138000004,15575.5995,0.01,
2026-08-28T18:22:01+00:00,2026-08-28,2026-senate-MN,2026,polymarket,DEM,0.905,67,0.905,False,39017.637627,18234.4186,0.01,
2026-08-28T18:22:01+00:00,2026-08-28,2026-senate-NE,2026,polymarket,DEM,0.0015,67,0.0015,False,87933.328097,19009.75492,0.001,
2026-08-28T18:22:01+00:00,2026-08-28,2026-senate-KS,2026,polymarket,DEM,0.19,67,0.19,False,15323.205808999997,10957.6148,0.02,
